"","kingdom","phylum","class","order","family","genus","species"
"1","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris brassicae"
"2","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio demodocus"
"3","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Mylothris","Mylothris agathina"
"4","Animalia","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Eutricha","Eutricha capensis"
"5","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Axiodes","Axiodes bifasciata"
"6","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Sicyodes","Sicyodes cambogiaria"
"7","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Dixeia","Dixeia charina"
"8","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Cuneisigna","Cuneisigna obstans"
"9","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Chiasmia","Chiasmia observata"
"10","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Catacroptera","Catacroptera cloanthe"
"11","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Acraea","Acraea rabbaiae"
"12","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Acraea","Acraea horta"
"13","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Hypolycaena","Hypolycaena philippus"
"14","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Amauris","Amauris ochlea"
"15","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Eronia","Eronia cleodora"
"16","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Stephenia",""
"17","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colotis","Colotis eris"
"18","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Acraea","Telchinia encedon"
"19","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Hippotion","Hippotion eson"
"20","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa cardui"
"21","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colotis","Colotis annae"
"22","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Junonia","Junonia hierta"
"23","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Hamanumida","Hamanumida daedalus"
"24","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Aloeides","Aloeides pierus"
"25","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Rhodometra","Rhodometra participata"
"26","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Ercheia","Ercheia subsignata"
"27","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Antigastra","Antigastra catalaunalis"
"28","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Leucotrachea","Leucotrachea melanodonta"
"29","Animalia","Arthropoda","Insecta","Lepidoptera","Nolidae","Paranola","Paranola nigristriga"
"30","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Leptotes",""
"31","Animalia","Arthropoda","Insecta","Lepidoptera","Cossidae","Macrocossus","Macrocossus toluminus"
"32","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Phalera","Phalera lydenburgi"
"33","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Coelonia","Coelonia fulvinotata"
"34","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypopyra","Hypopyra capensis"
"35","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pontia","Pontia helice"
"36","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Desmeocraera","Desmeocraera basalis"
"37","Animalia","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Philotherma","Philotherma rennei"
"38","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Epichoristodes","Epichoristodes acerbella"
